Date,High,Low,Open,Close,Volume,Adj Close,Status,Middle,Height
2019-05-01,240.0,231.5,238.85000610351562,234.00999450683594,10704400,234.00999450683594,Decrease,236.43000030517578,4.8400115966796875
2019-05-02,247.1300048828125,237.72000122070312,245.52000427246094,244.10000610351562,18159300,244.10000610351562,Decrease,244.81000518798828,1.4199981689453125
2019-05-03,256.6099853515625,243.49000549316406,243.86000061035156,255.02999877929688,23706800,255.02999877929688,Increase,249.44499969482422,11.169998168945312
2019-05-06,258.3500061035156,248.5,250.02000427246094,255.33999633789062,10833900,255.33999633789062,Increase,252.68000030517578,5.3199920654296875
2019-05-07,257.2099914550781,245.10000610351562,256.79998779296875,247.05999755859375,10131400,247.05999755859375,Decrease,251.92999267578125,9.739990234375
2019-05-08,250.60000610351562,244.1999969482422,246.94000244140625,244.83999633789062,6176400,244.83999633789062,Decrease,245.88999938964844,2.100006103515625
2019-05-09,243.67999267578125,236.94000244140625,242.0,241.97999572753906,6711400,241.97999572753906,Decrease,241.98999786376953,0.0200042724609375
2019-05-10,241.99000549316406,236.02000427246094,239.75,239.52000427246094,7008300,239.52000427246094,Decrease,239.63500213623047,0.2299957275390625
2019-05-13,232.47000122070312,224.5,232.00999450683594,227.00999450683594,10834800,227.00999450683594,Decrease,229.50999450683594,5.0
2019-05-14,234.5,228.0,229.3000030517578,232.30999755859375,7252400,232.30999755859375,Increase,230.80500030517578,3.0099945068359375
2019-05-15,232.44000244140625,225.25,229.32000732421875,231.9499969482422,7296000,231.9499969482422,Increase,230.63500213623047,2.6299896240234375
2019-05-16,231.0,226.5,229.49000549316406,228.3300018310547,7483300,228.3300018310547,Decrease,228.91000366210938,1.160003662109375
2019-05-17,222.24000549316406,208.9199981689453,221.9600067138672,211.02999877929688,17786700,211.02999877929688,Decrease,216.49500274658203,10.930007934570312
2019-05-20,206.0,195.25,202.8000030517578,205.36000061035156,20526200,205.36000061035156,Increase,204.0800018310547,2.55999755859375
2019-05-21,207.39999389648438,196.0399932861328,197.75999450683594,205.0800018310547,18003900,205.0800018310547,Increase,201.4199981689453,7.32000732421875
2019-05-22,203.94000244140625,191.77999877929688,199.10000610351562,192.72999572753906,18685200,192.72999572753906,Decrease,195.91500091552734,6.3700103759765625
2019-05-23,199.47000122070312,186.22000122070312,194.33999633789062,195.49000549316406,26547100,195.49000549316406,Increase,194.91500091552734,1.1500091552734375
2019-05-24,199.97999572753906,188.75,199.8300018310547,190.6300048828125,14136600,190.6300048828125,Decrease,195.2300033569336,9.199996948242188
2019-05-28,195.0,187.85000610351562,191.1999969482422,188.6999969482422,10312900,188.6999969482422,Decrease,189.9499969482422,2.5
2019-05-29,192.38999938964844,185.0399932861328,187.10000610351562,189.86000061035156,11968600,189.86000061035156,Increase,188.4800033569336,2.7599945068359375
2019-05-30,192.25999450683594,187.02000427246094,188.75,188.22000122070312,7926500,188.22000122070312,Decrease,188.48500061035156,0.529998779296875
2019-05-31,189.9199981689453,184.10000610351562,185.10000610351562,185.16000366210938,10406700,185.16000366210938,Increase,185.1300048828125,0.05999755859375
2019-06-03,186.67999267578125,176.99000549316406,185.50999450683594,178.97000122070312,13064400,178.97000122070312,Decrease,182.23999786376953,6.5399932861328125
2019-06-04,193.97999572753906,179.61000061035156,181.10000610351562,193.60000610351562,13807500,193.60000610351562,Increase,187.35000610351562,12.5
2019-06-05,201.27999877929688,191.85000610351562,198.67999267578125,196.58999633789062,13510800,196.58999633789062,Decrease,197.63499450683594,2.089996337890625
2019-06-06,211.0,201.8000030517578,204.44000244140625,205.9499969482422,20242200,205.9499969482422,Increase,205.19499969482422,1.5099945068359375
2019-06-07,210.83999633789062,203.5,205.0,204.5,16003500,204.5,Decrease,204.75,0.5
2019-06-10,216.94000244140625,209.00999450683594,210.25,212.8800048828125,10585000,212.8800048828125,Increase,211.56500244140625,2.6300048828125
2019-06-11,220.89999389648438,213.5,219.13999938964844,217.10000610351562,11653500,217.10000610351562,Decrease,218.12000274658203,2.0399932861328125
2019-06-12,223.3800048828125,209.0,222.9499969482422,209.25999450683594,15197500,209.25999450683594,Decrease,216.10499572753906,13.69000244140625
2019-06-13,214.89999389648438,207.50999450683594,210.3800048828125,213.91000366210938,8168300,213.91000366210938,Increase,212.14500427246094,3.529998779296875
2019-06-14,216.64999389648438,210.39999389648438,211.25,214.9199981689453,7433400,214.9199981689453,Increase,213.08499908447266,3.6699981689453125
2019-06-17,227.0,214.27000427246094,215.47999572753906,225.02999877929688,12316800,225.02999877929688,Increase,220.25499725341797,9.550003051757812
2019-06-18,234.74000549316406,222.55999755859375,228.72000122070312,224.74000549316406,12715800,224.74000549316406,Decrease,226.7300033569336,3.9799957275390625
